,site_id,longitude,latitude,State,County,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,full_timeseries_directory,full_timeseries_path
3185,37078,-117.555222,35.517258,California,San Bernardino,0.5279,3,10,6.87,0.398,74,74/37078.nc
3186,46497,-117.564575,37.481316,Nevada,Esmeralda,0.9792,2,16,7.6,0.346,92,92/46497.nc
3187,46818,-117.56073,37.539577,Nevada,Esmeralda,0.5453,2,10,5.82,0.264,93,93/46818.nc
3188,80997,-117.561188,40.880985,Nevada,Humboldt,0.9613,3,16,6.66,0.326,161,161/80997.nc
3189,99647,-117.560562,42.346188,Oregon,Malheur,0.8232,2,14,6.64,0.295,199,199/99647.nc
3190,107851,-117.555603,43.312271,Oregon,Malheur,0.6284,3,12,6.99,0.377,215,215/107851.nc
3191,121268,-117.563843,46.344078,Washington,Garfield,0.7192,2,12,7.97,0.424,242,242/121268.nc
3192,122031,-117.557587,46.538513,Washington,Garfield,0.7438,3,12,7.31,0.431,244,244/122031.nc
3193,125194,-117.562286,47.600204,Washington,Spokane,0.9866,3,16,6.61,0.351,250,250/125194.nc
3194,36009,-117.55072,35.366001,California,San Bernardino,0.4138,3,8,7.08,0.387,72,72/36009.nc
3195,37283,-117.545471,35.557514,California,San Bernardino,0.8467,3,14,6.65,0.341,74,74/37283.nc
3196,46313,-117.552216,37.445751,Nevada,Esmeralda,0.7512,2,14,7.61,0.35,92,92/46313.nc
3197,46701,-117.554535,37.521797,Nevada,Esmeralda,0.9966,2,16,6.67,0.296,93,93/46701.nc
3198,62270,-117.550629,39.248276,Nevada,Lander,1.0,3,16,5.17,0.201,124,124/62270.nc
3199,80575,-117.548126,40.845188,Nevada,Humboldt,0.988,3,16,6.34,0.317,161,161/80575.nc
3200,99120,-117.54718,42.310337,Oregon,Malheur,0.999,2,16,6.86,0.303,198,198/99120.nc
3201,107766,-117.548798,43.294331,Oregon,Malheur,0.7817,2,14,7.04,0.343,215,215/107766.nc
3202,117614,-117.548645,45.535343,Oregon,Wallowa,1.0,3,16,5.22,0.26,235,235/117614.nc
3203,121957,-117.550385,46.52055,Washington,Garfield,0.563,2,10,7.54,0.421,243,243/121957.nc
3204,125146,-117.554932,47.582256,Washington,Spokane,1.0,3,16,6.67,0.356,250,250/125146.nc
3205,32836,-117.539581,34.988148,California,San Bernardino,0.6243,3,10,6.28,0.37,65,65/32836.nc
3206,37180,-117.539474,35.539822,California,San Bernardino,0.9892,3,16,6.59,0.361,74,74/37180.nc
3207,46819,-117.5383,37.544483,Nevada,Esmeralda,1.0,2,16,5.99,0.265,93,93/46819.nc
3208,80998,-117.537506,40.885921,Nevada,Humboldt,1.0,3,16,5.79,0.266,161,161/80998.nc
3209,99648,-117.536316,42.351135,Oregon,Malheur,0.7883,3,14,6.69,0.334,199,199/99648.nc
3210,107670,-117.541992,43.27639,Oregon,Malheur,0.4653,2,8,6.92,0.344,215,215/107670.nc
3211,120855,-117.535172,46.272251,Washington,Garfield,0.8953,2,16,8.71,0.466,241,241/120855.nc
3212,121868,-117.543198,46.502594,Washington,Garfield,0.9261,2,16,7.58,0.405,243,243/121868.nc
3213,125195,-117.53566,47.605156,Washington,Spokane,0.7781,3,14,6.55,0.352,250,250/125195.nc
3214,25941,-117.534622,34.078236,California,San Bernardino,0.7779,3,14,3.55,0.109,51,51/25941.nc
3215,32701,-117.53363,34.970482,California,San Bernardino,0.9987,2,16,6.59,0.351,65,65/32701.nc
