,state,latitude,longitude,Distance to Salt Cavern [km],Salt Cavern Name
1393,Utah,40.598,-112.197,1215.7550345828874,SALADO
1394,SouthDakota,44.088,-100.657,1014.0750719460062,ASQUITH
1395,Tennessee,35.696,-89.601,421.072625095099,PERRYVILLE
1396,Virginia,37.274,-78.633,282.79016946469903,SALTVILLE STORAGE
1397,Texas,33.289,-96.574,166.96975948025153,BETHEL
1398,Virginia,37.388,-78.743,275.3491554190914,SALTVILLE STORAGE
1399,Nebraska,42.21,-96.656,942.9282133672958,LACEY STORAGE
1400,Missouri,37.904,-94.393,611.521347377568,ARCADIA
1401,Missouri,39.142,-92.523,719.0572468137249,LACEY STORAGE
1402,Mississippi,31.088,-90.63,103.09398045685458,SORRENTO
1403,Utah,38.957,-112.647,1129.7309256967126,SALADO
1404,Texas,29.816,-100.765,318.3909522725718,KEYSTONE
1405,Illinois,41.231,-88.456,302.7762627193517,LACEY STORAGE
1406,Kentucky,36.888,-85.232,308.57413591511414,SALTVILLE STORAGE
1407,Tennessee,36.073,-86.175,404.2608579854066,SALTVILLE STORAGE
1408,Arizona,34.204,-109.92,682.5750290895385,SALADO
1409,Texas,29.885,-98.534,251.00603427179092,MARKHAM
1410,Iowa,42.761,-92.769,620.764024970693,LACEY STORAGE
1411,Mississippi,33.786,-88.986,214.5664042271418,LEAF RIVER ENERGY CENTER (NEW HOME DOME)
1412,WestVirginia,38.147,-81.794,142.72176565595055,SALTVILLE STORAGE
1413,Wyoming,42.136,-106.31,1096.8257397533016,SALADO
1414,NorthDakota,48.255,-97.22,830.6849119569943,ASQUITH
1415,Colorado,39.247,-106.85,817.0327507594455,SALADO
1416,SouthDakota,44.452,-96.527,940.9736013795916,LACEY STORAGE
1417,Iowa,42.601,-95.764,866.5378036301668,LACEY STORAGE
1418,Wyoming,41.943,-104.793,1045.8394492641796,SALADO
1419,Washington,46.402,-119.374,1085.7941718271609,ASQUITH
1420,NewMexico,34.159,-108.451,550.1145540562298,SALADO
1421,Montana,47.121,-114.06,741.0986472206386,ASQUITH
1422,SouthCarolina,35.162,-81.732,188.57467534308307,SALTVILLE STORAGE
1423,Arkansas,35.078,-91.259,310.71848148258874,PERRYVILLE
1424,Delaware,38.749,-75.657,420.4909064670007,SENECA LAKE STORAGE
1425,Utah,39.579,-113.242,1211.7253891721862,SALADO
1426,Nevada,41.59,-117.403,1399.317298713741,ASQUITH
1427,Washington,46.095,-121.869,1257.4328816714851,ASQUITH
1428,Texas,34.872,-100.972,299.6466517607244,SALADO
1429,Texas,30.841,-102.34,138.96608773182896,KEYSTONE
1430,Oregon,44.367,-123.024,1449.858971350098,ASQUITH
1431,Texas,30.986,-93.661,113.84578771232673,SPINDLETOP
1432,Nebraska,42.391,-98.147,1063.5336737074304,LACEY STORAGE
1433,Arizona,32.114,-110.684,729.5197369427716,KEYSTONE
1434,Pennsylvania,40.959,-76.428,166.45337540105092,SENECA LAKE STORAGE
1435,Wyoming,42.636,-108.652,1056.586337295285,ASQUITH
1436,Kansas,38.894,-101.135,708.9981703163297,SALADO
1437,Kansas,38.484,-98.16,759.4755942349889,BETHEL
1438,Oklahoma,35.732,-98.477,487.61353593254313,BETHEL
1439,NorthCarolina,34.284,-78.705,398.7052040919919,SALTVILLE STORAGE
1440,Colorado,39.04,-105.679,754.3738486045106,SALADO
1441,Nebraska,42.795,-103.562,1069.1346879968144,ASQUITH
1442,Texas,31.84,-102.298,64.39997249241101,KEYSTONE
1443,Colorado,37.731,-108.417,759.7627295446325,SALADO
1444,Indiana,41.486,-86.216,137.76199568141058,LACEY STORAGE
1445,Oklahoma,36.088,-99.978,461.8867483808304,SALADO
1446,Alabama,33.136,-85.404,322.51043603142216,MCINTOSH SALT DOME
1447,Michigan,43.683,-82.951,92.32642193542564,MARYSVILLE STORAGE SYSTEM
1448,Oklahoma,36.638,-95.376,508.9263100267444,ARCADIA
1449,Iowa,41.413,-93.717,714.856534214923,LACEY STORAGE
1450,Iowa,40.743,-94.756,818.0876185326601,LACEY STORAGE
1451,Missouri,36.719,-90.462,502.3776854466447,PERRYVILLE
1452,Montana,45.028,-105.563,794.6382743873901,ASQUITH
1453,Arkansas,34.942,-93.397,271.55255973268567,ARCADIA
1454,Minnesota,45.525,-96.38,956.878585189883,LACEY STORAGE
1455,Arkansas,33.253,-92.938,80.48097041706818,ARCADIA
1456,Texas,30.0,-97.668,184.27790666714196,MARKHAM
1457,Montana,47.908,-114.98,724.7656143945275,ASQUITH
1458,Nevada,40.774,-114.751,1383.0042933984173,ASQUITH
1459,California,39.302,-122.935,1867.7305617230209,ASQUITH
1460,Montana,48.211,-109.084,451.6099293210849,ASQUITH
1461,Mississippi,32.074,-90.43,70.76203300532549,BOND SALT DOME
1462,Kansas,39.334,-99.607,795.7070315719685,SALADO
1463,Mississippi,31.938,-89.673,19.37493288517861,BOND SALT DOME
1464,Texas,32.701,-100.824,186.88357124160555,SALADO
1465,Louisiana,30.571,-92.922,48.10875913404672,EGAN STORAGE DOME
1466,Minnesota,49.333,-95.065,910.0083573264496,ASQUITH
1467,SouthDakota,43.728,-102.458,994.8835326833552,ASQUITH
1468,Mississippi,30.911,-89.13,53.29539041873822,HATTIESBURG/PETAL
1469,Alabama,34.749,-85.694,424.97075269927296,SALTVILLE STORAGE
1470,NewMexico,33.364,-107.395,435.091959138557,SALADO
1471,Minnesota,47.076,-94.136,871.3090232414495,LACEY STORAGE
1472,Minnesota,46.988,-96.55,956.4730908205008,ASQUITH
1473,Montana,47.644,-108.789,507.2393982890875,ASQUITH
1474,Colorado,38.523,-106.026,713.2665286638312,SALADO
1475,Montana,48.887,-110.419,422.5482718733349,ASQUITH
1476,Georgia,31.333,-84.261,357.43230782997153,MCINTOSH SALT DOME
1477,Nevada,41.136,-117.097,1430.8513312403538,ASQUITH
1478,Utah,39.447,-113.496,1221.007543098374,SALADO
1479,Montana,48.224,-110.083,476.24954287137336,ASQUITH
1480,Michigan,46.364,-85.871,435.49045420544144,LACEY STORAGE
1481,Texas,28.102,-97.264,146.60464861451635,MARKHAM
1482,NewMexico,36.309,-107.748,607.9755870161351,SALADO
1483,NewYork,42.212,-79.205,191.63684635730849,SENECA LAKE STORAGE
1484,Montana,45.806,-112.53,799.4253204745069,ASQUITH
1485,Mississippi,34.475,-88.917,291.13077410324263,LEAF RIVER ENERGY CENTER (NEW HOME DOME)
1486,Idaho,43.437,-111.575,1015.5916698082282,ASQUITH
1487,Alabama,33.68,-87.292,276.4721132378742,LEAF RIVER ENERGY CENTER (NEW HOME DOME)
1488,SouthCarolina,34.6,-81.177,256.5776899965319,SALTVILLE STORAGE
1489,Minnesota,46.105,-94.642,853.3246364433011,LACEY STORAGE
1490,Utah,40.922,-113.61,1328.623746565488,SALADO
1491,NewMexico,36.845,-103.034,465.56391278096527,SALADO
1492,SouthDakota,44.994,-99.639,966.1157635299368,ASQUITH
1493,California,33.012,-115.736,1205.4644644311322,KEYSTONE
1494,SouthCarolina,33.684,-81.897,352.68291090826614,SALTVILLE STORAGE
1495,Michigan,46.697,-88.222,526.6454491533111,LACEY STORAGE
1496,Arizona,33.722,-113.004,957.089490825437,SALADO
1497,Montana,47.088,-107.042,556.448817581986,ASQUITH
1498,Kansas,37.215,-97.844,616.5795491367878,BETHEL
1499,Texas,35.501,-102.36,318.7877217365456,SALADO
1500,Missouri,38.548,-92.273,670.4554919826862,ARCADIA
1501,Michigan,42.973,-85.071,56.641202433426095,LACEY STORAGE
1502,Louisiana,30.361,-92.556,11.373495047554384,EGAN STORAGE DOME
1503,Nebraska,42.306,-96.954,966.417033237753,LACEY STORAGE
1504,Minnesota,43.959,-94.537,775.1314249984252,LACEY STORAGE
